concept_id,concept_name
1, c_o_1
2, c_o_2
3, c_o_3
4, c_o_4
5, c_o_5
6, c_o_6
7, c_o_7
8, c_o_8
9, c_o_9
10, c_o_10
11, c_o_11
12, c_o_12
13, c_o_13
14, c_o_14
15, c_o_15
16, c_o_16
17, c_o_17
18, c_o_18
19, c_o_19
20, c_o_20
21, c_o_21
22, d_e_22
23, d_e_23
24, d_e_24
25, d_e_25
26, d_e_26
27, d_e_27
28, d_e_28
29, d_e_29
30, d_e_30
31, d_e_31
32, d_e_32
33, d_e_33
34, p_o_34
35, p_o_35
36, p_o_36
37, p_o_37
38, p_o_38
39, p_o_39
40, p_o_40
41, p_o_41
42, p_o_42
43, p_o_43
44, p_o_44
45, p_o_45
46, p_o_46
47, p_o_47
48, p_o_48
49, p_o_49
50, p_o_50
51, p_o_51
52, p_o_52
53, p_o_53
54, p_o_54
55, p_o_55
